Angiospermae,Amborella_trichopoda,Nymphaea_odorata,Austrobaileya_scandens,Chloranthus_japonicus,Magnolia_tripetala,Lilium_superbum,Ceratophyllum_demersum,Ranunculus_acris,
Mesangiospermae,Chloranthus_japonicus,Magnolia_tripetala,Lilium_superbum,Ceratophyllum_demersum,Ranunculus_acris,,,,
Magnoliidae,Canella_winterana,Magnolia_tripetala,Cinnamomum_camphora,Piper_betle,,,,,
Monocotyledoneae,Acorus_gramineus,Orontium_aquaticum,Tofieldia_calyculata,Lilium_superbum,,,,,
Eudicotyledoneae,Ranunculus_acris,Platanus_occidentalis,Sabia_swinhoei,Trochodendron_aralioides,Buxus_sempervirens,Helianthus_annuus,,,
Commelinidae,Dasypogon_bromeliifolius,Tradescantia_spathacea,Elaeis_guineensis,Oryza_sativa,,,,,
Pentapetalae,Santalum_album,Berberidopsis_corallina,Stellaria_media,Dillenia_retusa,Saxifraga_cernua,Vitis_aestivalis,Photinia_x_fraseri,Helianthus_annuus,
Superasteridae,Stellaria_media,Berberidopsis_corallina,Santalum_album,Dillenia_retusa,Helianthus_annuus,,,,
Asteridae,Lamium_amplexicaule,Cornus_mas,Helianthus_annuus,Rhododendron_hippophaeoides,,,,,
Lamiidae,Lamium_amplexicaule,Nicotiana_tabacum,Gentiana_saponaria,Borago_officinalis,Vahlia_capensis,,,,
Campanulidae,Ilex_cornuta,Anethum_graveolens,Campanula_elatines,Apium_graveolens,Helianthus_annuus,Dipsacus_sativus,,,
Superrosidae,Vitis_aestivalis,Saxifraga_cernua,Prunus_persica,,,,,,
Rosidae,Vitis_aestivalis,Medicago_sativa,Gossypium_hirsutum,,,,,,
Malvidae,Tapiscia_sinensis,Gossypium_hirsutum,Cupaniopsis_anacardioides,Brassica_napus,,,,,
Fabidae,Photinia_x_fraseri,Guaiacum_sanctum,Malpighia_emarginata,Oxalis_dillenii,Euonymus_americanus,Medicago_sativa,Cucurbita_pepo,Fagus_grandifolia,Afrostyrax_lepidophyllus
